epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8254,0.70096,5.48057,0.00759,0.99163,0.08868,0.53569,0.39166,0.57178,3.57128,0.01012,0.000471041,0.000471041,0.000471041
2,49.1095,0.73184,3.41186,0.00774,0.58054,0.6971,0.64525,0.48229,0.67134,1.96973,0.01135,0.000928616,0.000928616,0.000928616
3,67.7934,0.75198,2.33465,0.00799,0.6049,0.66397,0.65954,0.44452,0.82299,0.88221,0.0151,0.00136733,0.00136733,0.00136733
4,83.9693,0.72293,1.49455,0.00765,0.62523,0.77219,0.73841,0.50689,0.75445,0.6616,0.01323,0.00134412,0.00134412,0.00134412
5,100.765,0.7025,1.10137,0.00737,0.77821,0.77196,0.83554,0.58702,0.61433,0.51441,0.01112,0.00131582,0.00131582,0.00131582
6,117.634,0.69518,0.86568,0.0075,0.67364,0.86274,0.8754,0.67106,0.63088,0.48,0.0111,0.00128753,0.00128753,0.00128753
7,133.256,0.66715,0.76749,0.00726,0.7371,0.91645,0.88773,0.62723,0.59973,0.52088,0.01054,0.00125923,0.00125923,0.00125923
8,149.632,0.65316,0.63458,0.00697,0.93417,0.76872,0.93771,0.71482,0.4958,0.43848,0.00834,0.00123094,0.00123094,0.00123094
9,164.524,0.61936,0.58857,0.00659,0.83317,0.7029,0.73934,0.61039,0.51145,0.4607,0.00856,0.00120265,0.00120265,0.00120265
10,181.308,0.59873,0.52626,0.00631,0.78876,0.87877,0.92047,0.6829,0.52721,0.45195,0.00976,0.00117435,0.00117435,0.00117435
11,196.522,0.59101,0.48832,0.00623,0.82775,0.98185,0.94534,0.75394,0.47946,0.24973,0.0081,0.00114606,0.00114606,0.00114606
12,212.902,0.58416,0.44461,0.00617,0.96435,0.97555,0.98732,0.74262,0.44257,0.23467,0.00771,0.00111776,0.00111776,0.00111776
13,228.687,0.56596,0.42753,0.00595,0.90718,0.96421,0.98651,0.75046,0.48091,0.23945,0.00859,0.00108947,0.00108947,0.00108947
14,243.781,0.54012,0.39978,0.00587,0.9205,0.98059,0.98275,0.72725,0.50918,0.25792,0.00937,0.00106118,0.00106118,0.00106118
15,260.371,0.55403,0.37994,0.00571,0.8954,0.97788,0.96464,0.73459,0.508,0.22579,0.00896,0.00103288,0.00103288,0.00103288
16,275.637,0.54508,0.38222,0.00582,0.97288,0.94809,0.98631,0.7647,0.47199,0.23714,0.00806,0.00100459,0.00100459,0.00100459
17,292.356,0.52165,0.37243,0.00566,0.98793,0.90814,0.98572,0.78378,0.45679,0.18489,0.00875,0.000976293,0.000976293,0.000976293
18,307.726,0.50256,0.36557,0.00528,0.98341,0.93486,0.99123,0.80916,0.44165,0.20887,0.00719,0.000947999,0.000947999,0.000947999
